time,P,G(i),H_sun,T2m,WS10m,Int
20130101:0030,0,0,0,-2.08,3.79,0
20130101:0130,0,0,0,-1.22,4.76,0
20130101:0230,0,0,0,-0.82,5.38,0
20130101:0330,0,0,0,-0.55,5.86,0
20130101:0430,0,0,0,-0.6,6.41,0
20130101:0530,0,0,0,-1.08,6.41,0
20130101:0630,0,0,0,-1.74,6.41,0
20130101:0730,0,0,0,-2.74,6,0
20130101:0830,0,0,0,-3.94,6.14,0
20130101:0930,0,0,0,-5.9,6.21,0
20130101:1030,0,0,0,-7.6,5.93,0
20130101:1130,0,0,0,-8.88,5.31,0
20130101:1230,0,0,-1.53,-9.88,4.62,0
20130101:1330,831.78,460.11,6.79,-10.55,4.34,0
20130101:1430,1283.42,720.05,13.65,-10.89,4.14,0
20130101:1530,1210.02,676.44,18.59,-10.98,4.62,0
20130101:1630,1230.48,688.1,21.15,-10.9,5.03,0
20130101:1730,1237,691.71,21.05,-10.78,5.24,0
20130101:1830,1010.86,561.94,18.31,-10.7,5.38,0
20130101:1930,869.16,480.85,13.21,-11.24,4.97,0
20130101:2030,747.4,411.25,6.23,-11.4,4.76,0
20130101:2130,0,0,-2.18,-11.98,4,0
20130101:2230,0,0,0,-12.85,4,0
20130101:2330,0,0,0,-13.48,4.07,0
20130102:0030,0,0,0,-14.11,4,0
20130102:0130,0,0,0,-14.69,3.93,0
20130102:0230,0,0,0,-15.15,3.86,0
20130102:0330,0,0,0,-15.29,3.72,0
20130102:0430,0,0,0,-15.67,3.45,0
20130102:0530,0,0,0,-16.03,2.97,0
20130102:0630,0,0,0,-16.39,2.48,0
20130102:0730,0,0,0,-16.03,2.07,0
20130102:0830,0,0,0,-15.88,1.93,0
20130102:0930,0,0,0,-15.58,1.59,0
20130102:1030,0,0,0,-15.44,1.45,0
20130102:1130,0,0,0,-15.34,1.59,0
20130102:1230,0,0,-1.53,-15.38,1.93,0
20130102:1330,567.52,308.03,6.8,-15.75,2.14,0
20130102:1430,1344.1,751.81,13.69,-15.84,2.34,0
20130102:1530,1649.84,935.84,18.64,-15.55,2.9,0
20130102:1630,1601.48,905.29,21.22,-15.3,3.17,0
20130102:1730,1532.4,863.26,21.15,-15.09,3.31,0
20130102:1830,1545.98,870.56,18.42,-15,3.38,0
20130102:1930,1531.06,858.14,13.34,-15.02,3.59,0
20130102:2030,1209.94,668.34,6.36,-15.39,3.24,0
20130102:2130,0,0,-2.05,-16.22,3.1,0
20130102:2230,0,0,0,-17.25,3.03,0
20130102:2330,0,0,0,-18.07,2.83,0
20130103:0030,0,0,0,-18.92,2.69,0
20130103:0130,0,0,0,-19.69,2.62,0
20130103:0230,0,0,0,-20.36,2.55,0
20130103:0330,0,0,0,-20.93,2.48,0
20130103:0430,0,0,0,-21.44,2.41,0
20130103:0530,0,0,0,-21.89,2.28,0
20130103:0630,0,0,0,-22.19,2.21,0
20130103:0730,0,0,0,-22.3,2.14,0
20130103:0830,0,0,0,-22.47,1.93,0
20130103:0930,0,0,0,-22.18,1.72,0
20130103:1030,0,0,0,-21.8,1.59,0
20130103:1130,0,0,0,-21.68,1.86,0
20130103:1230,0,0,-1.53,-21.94,2.07,0
20130103:1330,924.98,497.04,6.82,-22.21,2.07,0
20130103:1430,1432.94,791.4,13.73,-21.96,1.79,0
20130103:1530,1731.5,974.14,18.7,-21.15,2.07,0
20130103:1630,1819.3,1031.25,21.31,-19.99,2.34,0
20130103:1730,1782.48,1012.74,21.25,-18.83,2.34,0
20130103:1830,1326.82,739.5,18.54,-17.89,2.07,0
